Time;AAPL;MSFT;AMZN;TSLA;META;NVDA
2024-06-28 15:07:51;214.009994506836;195.88999938964844;515.9901123046875;452.7349853515625;125.52989959716795;201.7769927978516
2024-06-28 16:09:08;214.1499938964844;195.0;514.5800170898438;;125.36000061035156;198.08999633789065
2024-06-28 17:07:54;214.22000122070312;194.759994506836;514.7100219726562;453.8999938964844;123.88990020751952;196.1999969482422
2024-06-28 18:09:46;213.9830017089844;195.30499267578125;513.9299926757812;453.6300048828125;124.26799774169922;197.38999938964844
2024-06-28 19:06:15;212.9600067138672;194.5599975585937;512.780029296875;452.6799926757813;124.1498031616211;196.0780029296875
2024-06-28 20:08:03;210.6100006103516;193.32000732421875;504.1199951171875;447.6900024414063;123.44000244140624;198.0
2024-06-28 21:07:28;210.6100006103516;193.32000732421875;504.1199951171875;447.6900024414063;123.44000244140624;198.0
2024-06-28 22:07:21;210.6100006103516;193.32000732421875;504.1199951171875;447.6900024414063;123.44000244140624;198.0
2024-06-28 23:08:32;210.6100006103516;193.32000732421875;504.1199951171875;447.6900024414063;123.44000244140624;198.0
2024-07-01 15:08:07;214.75;195.83999633789065;496.9200134277344;450.9649963378906;121.69000244140624;209.17999267578125
2024-07-01 16:09:05;215.82000732421875;196.5800018310547;500.4599914550781;453.5599060058594;124.00689697265624;210.9149932861328
2024-07-01 17:07:41;217.1497039794922;197.4949951171875;501.7749938964844;454.4898986816406;123.29000091552734;209.4199981689453
2024-07-01 18:10:32;;;503.1799926757813;453.6700134277344;123.79399871826172;212.6300048828125
2024-07-01 19:07:22;216.0106964111328;197.42999267578125;504.0398864746094;453.9671020507813;124.48989868164062;210.1499938964844
2024-07-01 20:08:41;216.72999572753903;197.19000244140625;504.6000061035156;456.6400146484375;124.18000030517578;209.860107421875
2024-07-01 21:07:39;216.72999572753903;197.19000244140625;504.6000061035156;456.6400146484375;124.18000030517578;209.860107421875
2024-07-01 22:07:47;216.72999572753903;197.19000244140625;504.6000061035156;456.6400146484375;124.18000030517578;209.860107421875
2024-07-01 23:08:28;216.72999572753903;197.19000244140625;504.6000061035156;456.6400146484375;124.18000030517578;209.860107421875
2024-07-02 15:07:56;219.8600006103516;197.8099975585937;503.6650085449219;456.4400024414063;122.0998992919922;228.7001037597656
2024-07-02 16:10:09;219.06500244140625;197.14010620117188;504.6300048828125;455.118408203125;122.06500244140624;227.5803985595703
2024-07-02 17:07:39;219.1499938964844;198.92999267578125;508.1300048828125;456.760009765625;122.95010375976562;229.02999877929688
2024-07-02 18:09:53;219.6100006103516;199.97000122070312;508.7178955078125;458.760009765625;122.697998046875;227.8999938964844
2024-07-02 19:07:57;219.8099975585937;200.0249938964844;509.3399963378906;458.7123107910156;122.66000366210938;228.3099975585937
2024-07-02 20:08:25;220.3699951171875;200.0200042724609;509.6300048828125;459.4200134277344;122.66000366210938;231.2400054931641
2024-07-02 21:07:18;220.3699951171875;200.0200042724609;509.6300048828125;459.4200134277344;122.66000366210938;231.2400054931641
2024-07-02 22:08:16;220.3699951171875;200.0200042724609;509.6300048828125;459.4200134277344;122.66000366210938;231.2400054931641
2024-07-02 23:07:25;220.3699951171875;200.0200042724609;509.6300048828125;459.4200134277344;122.66000366210938;231.2400054931641
2024-07-03 15:08:16;220.5;197.1600036621093;508.0700073242188;459.5700073242188;125.17009735107422;243.118896484375
2024-07-03 16:10:13;220.5449981689453;197.8300018310547;510.2449951171875;459.3999938964844;127.1999969482422;245.83999633789065
2024-07-03 17:06:40;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-03 18:09:57;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-03 19:06:05;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-03 20:08:40;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-03 21:08:41;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-03 22:08:22;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-03 23:08:49;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 15:07:44;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 16:09:12;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 17:07:53;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 18:10:18;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 19:06:54;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 20:08:20;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 21:07:36;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 22:08:22;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-04 23:08:06;221.5399932861328;197.6000061035156;509.8500061035156;460.7699890136719;128.27999877929688;246.5200042724609
2024-07-05 15:07:44;224.51499938964844;199.92010498046875;528.1679077148438;465.5564880371094;126.6615982055664;249.3495941162109
